# id,name,mesonet,lat,lon,elevation,agl,cit,state,country,active
C7911,CW7911 Sebago                     ME US,APRSWXNET,43.879180908203125,-70.63127136230469,89.0,-9999.0,null,null,null,true
LWRT2,SANTA ANA NWR                    TX US,RAWS,26.07859992980957,-98.1572036743164,27.399999618530273,-9999.0,null,null,null,true
SDRC1,SOLDIER MTN                      CA US,RAWS,40.92580032348633,-121.58560180664062,1130.800048828125,-9999.0,null,null,null,true
C7925,CW7925 Holiday Island             AR US,APRSWXNET,36.493831634521484,-93.72250366210938,339.8999938964844,-9999.0,null,null,null,true
GSTO3,GERBER RESERVOIR                 OR US SNOTEL,utmesnet,42.209999084472656,-121.12999725341797,1478.300048828125,-9999.0,null,null,null,true
TMETH,Methow                           WA US WA DOT,utmesnet,48.078399658203125,-120.01129913330078,313.8999938964844,-9999.0,null,null,null,true
MCRU1,MONTE CRISTO                     UT US SNOTEL,utmesnet,41.470001220703125,-111.5,2731.0,-9999.0,null,null,null,true
C7929,CW7929 Yucca Valley               CA US,APRSWXNET,34.102169036865234,-116.385498046875,1105.800048828125,-9999.0,null,null,null,true
BDVA2,BROADVIEW                        AK US,RAWS,60.483299255371094,-149.76669311523438,190.5,-9999.0,null,null,null,true
OXSYZ,SANTA YNEZ                       CA US,utmesnet,34.60829162597656,-120.07318115234375,210.0,-9999.0,null,null,null,true
C7923,CW7923 Albuquerque                NM US,APRSWXNET,35.1510009765625,-106.71900177001953,1593.0,-9999.0,null,null,null,true
C7921,CW7921 New Topsail Beach          NC US,APRSWXNET,34.35749816894531,-77.64116668701172,9.5,-9999.0,null,null,null,true
CLFN2,CALIFORNIA WASH                  NV US LAS VEGAS,utmesnet,36.47999954223633,-114.70999908447266,634.0,-9999.0,null,null,null,true
MSCO,Saco US-2 MP 502.5               MT US MT DOT,utmesnet,48.45138168334961,-107.3016586303711,664.5,-9999.0,null,null,null,true
PTRH1,PTA RANGE 17                     HI US,RAWS,19.745800018310547,-155.6260986328125,1734.300048828125,-9999.0,null,null,null,true
TLST2,Tulia 2NE,WT-Meso,34.542938232421875,-101.7405014038086,1060.0999755859375,-9999.0,null,null,null,true
CSKC1,COOSKIE MOUNTAIN (BLM)           CA US CNRFC,utmesnet,40.26667022705078,-124.25,898.9000244140625,-9999.0,null,null,null,true
IMWN2,IMMIGRATION WASH                 NV US,RAWS,37.91999816894531,-114.16670227050781,1898.9000244140625,-9999.0,null,null,null,true
SOAC1,SODA CREEK                       CA US,RAWS,39.42499923706055,-122.97720336914062,525.7999877929688,-9999.0,null,null,null,true
TLBO3,Garibaldi, OR,NOS-NWLON,45.55500030517578,-123.91200256347656,0.0,-9999.0,null,null,null,true
AS617,W8GUC Vandalia                    OH US,APRSWXNET,39.8731689453125,-84.20883178710938,310.0,-9999.0,null,null,null,true
TRDA2,Richardson Hwy @ Trims DOT MS MP 218.2,akdotroad,63.41604995727539,-145.74929809570312,755.0,-9999.0,null,null,null,true
AS618,W4DEX-2 Locust                    NC US,APRSWXNET,35.26033020019531,-80.42250061035156,226.0,-9999.0,null,null,null,true
AS615,SR7WXC Lodz                          PL,APRSWXNET,51.70249938964844,19.47949981689453,188.0,-9999.0,null,null,null,true
AS616,SR7WXD Dlutow                        PL,APRSWXNET,51.546329498291016,19.27617073059082,186.0,-9999.0,null,null,null,true
AS619,KB0FRI Newton                     KS US,APRSWXNET,38.041751861572266,-97.34558868408203,440.0,-9999.0,null,null,null,true
MITC2,DEEP CREEK                       CO US,RAWS,39.77360153198242,-107.64689636230469,2866.300048828125,-9999.0,null,null,null,true
MITC1,MITCHELL MEADOW                  CA US CNRFC,utmesnet,36.73332977294922,-118.71666717529297,2956.89990234375,-9999.0,null,null,null,true
TAST2,Tahoka 3NE,WT-Meso,33.20746994018555,-101.78019714355469,946.0999755859375,-9999.0,null,null,null,true
CTNC1,COTTONWOOD NEAR PLATINA 7WSW     CA US CNRFC,utmesnet,40.31694030761719,-122.88111114501953,1036.300048828125,-9999.0,null,null,null,true
SJS,ST. JOHN SUBSTATION              UT US TOOELE,utmesnet,40.36817169189453,-112.45476531982422,1535.0,-9999.0,null,null,null,true
RCDI4,Cedar Rapids (I-380),iadotroad,41.97800064086914,-91.67449951171875,235.8000030517578,-9999.0,null,null,null,true
AS614,KB5DPX Petoskey                   MI US,APRSWXNET,45.361270904541016,-84.95110321044922,228.0,-9999.0,null,null,null,true
AS611,K7MCR Issaquah                    WA US,APRSWXNET,47.54867172241211,-121.93966674804688,367.0,-9999.0,null,null,null,true
AS612,MEARES Cape Meares                OR US,APRSWXNET,45.466068267822266,-123.92098236083984,433.0,-9999.0,null,null,null,true
BIG,Coxs Well,arlfrd,43.29409408569336,-113.18161010742188,1585.0,-9999.0,null,null,null,true
TRUC1,TRUCKEE #2                       CA US SNOTEL,utmesnet,39.29999923706055,-120.18000030517578,1950.699951171875,-9999.0,null,null,null,true
C7904,CW7904 Fremont                    OH US,APRSWXNET,41.3371696472168,-83.20066833496094,201.0,-9999.0,null,null,null,true
NKTA2,Nikiski,nosports,60.68299865722656,-151.3979949951172,0.0,-9999.0,null,null,null,true
C7907,CW7907 Parker                     CO US,APRSWXNET,39.49116897583008,-104.78250122070312,1955.0,-9999.0,null,null,null,true
C7901,CW7901 Springfield                OR US,APRSWXNET,44.02199935913086,-122.87300109863281,402.29998779296875,-9999.0,null,null,null,true
C7902,CW7902 Moose                      WY US,APRSWXNET,43.68729019165039,-110.73532104492188,2022.0,-9999.0,null,null,null,true
AS606,KI4RPM Granite Falls              NC US,APRSWXNET,35.806671142578125,-81.50617218017578,365.0,-9999.0,null,null,null,true
AS607,AC7SG Lake Goodwin                WA US,APRSWXNET,48.16476058959961,-122.26789855957031,114.0,-9999.0,null,null,null,true
BUFN6,Buffalo, NY,NOS-NWLON,42.87699890136719,-78.88999938964844,178.3000030517578,-9999.0,null,null,null,true
AS605,K9JVA Cincinnati                  OH US,APRSWXNET,39.19449996948242,-84.36582946777344,250.0,-9999.0,null,null,null,true
AS608,KB0DWT Pueblo West                CO US,APRSWXNET,38.388671875,-104.66867065429688,1535.5999755859375,-9999.0,null,null,null,true
RSBU1,ROSEBUD                          UT US,RAWS,41.60969924926758,-113.5905990600586,1520.0,-9999.0,null,null,null,true
AS609,K3DAD-1 Sipesville                PA US,APRSWXNET,40.11532974243164,-79.09667205810547,807.7000122070312,-9999.0,null,null,null,true
AS602,WL7CLI Des Moines                 IA US,APRSWXNET,41.62916946411133,-93.53450012207031,259.1000061035156,-9999.0,null,null,null,true
AS603,K0BEN Edina                       MN US,APRSWXNET,44.89316940307617,-93.37149810791016,275.70001220703125,-9999.0,null,null,null,true
BUFN2,BUFFALO CREEK                    NV US,RAWS,40.58190155029297,-119.79000091552734,851.5999755859375,-9999.0,null,null,null,true
MTTC1,MINARETS                         CA US,RAWS,37.40719985961914,-119.34559631347656,1627.5999755859375,-9999.0,null,null,null,true
AS601,K3BM LaPorte                      PA US,APRSWXNET,41.4221305847168,-76.49418640136719,609.0,-9999.0,null,null,null,true
SKY,Skyline                          UT US UTAH DOT,utmesnet,39.63600158691406,-111.3291015625,2843.800048828125,-9999.0,null,null,null,true
SMLI4,Mallard                                KCCI-TV,snet,42.934879302978516,-94.68212127685547,387.1000061035156,-9999.0,null,null,null,true
TS720,CHEYENNE                         OK US,RAWS,35.708099365234375,-99.90470123291016,716.9000244140625,-9999.0,null,null,null,true
JCTN4,NERRS WATER QUALITY SITE JACQUES COUST,nerresmet,39.50469970703125,-74.3364028930664,0.0,-9999.0,null,null,null,true
TS729,BLUE ROCK                        OH US,RAWS,40.00419998168945,-82.08080291748047,195.39999389648438,-9999.0,null,null,null,true
TS724,MISSION CREEK                    ID US,RAWS,46.28810119628906,-116.68779754638672,1036.300048828125,-9999.0,null,null,null,true
TS722,ELKHORN                          MT US,RAWS,46.314701080322266,-111.69670104980469,1831.9000244140625,-9999.0,null,null,null,true
TS723,TOWAOC PORTABLE                  CO US,RAWS,37.209999084472656,-108.73999786376953,1670.5999755859375,-9999.0,null,null,null,true
MKZO3,MCKENZIE                         OR US SNOTEL,utmesnet,44.209999084472656,-121.87000274658203,1463.0,-9999.0,null,null,null,true
C0498,CW0498 Powder Springs             GA US,APRSWXNET,33.885169982910156,-84.6729965209961,300.0,-9999.0,null,null,null,true
C0499,CW0499 Grand Rapids               MN US,APRSWXNET,47.2547492980957,-93.59429931640625,413.8999938964844,-9999.0,null,null,null,true
C0497,CW0497 Washington                 DC US,APRSWXNET,38.95758819580078,-77.03521728515625,77.0,-9999.0,null,null,null,true
BRND1,Brandywine Shl,nosports,38.98699951171875,-75.11299896240234,0.0,-9999.0,null,null,null,true
